gem	sole_impact	reach_impact	failure_type	achievability	transitive_loadbearing
date	1	21	c-extension	native	0
herb	1	1	c-extension	native	0
sheller	1	1	analyze-failed	compiler	0
ronin-support	1	1	no-entrypoint	compiler	0
jml_thrift	1	1	c-extension	native	0
rb-libsvm	1	1	c-extension	native	0
object_regex	1	1	other	compiler	0
enumerable_hashify	1	3	other	compiler	0
has_serialized	1	1	analyze-failed	compiler	0
ryansch-andand	1	1	analyze-failed	compiler	0
phlex-markdown	1	1	no-entrypoint	compiler	0
fast_trie	1	2	no-entrypoint	compiler	0
ruby_dig	1	4	other	compiler	0
hashr	1	3	analyze-failed	compiler	0
mixology	1	1	c-extension	native	0
rainbows	1	2	analyze-failed	compiler	0
jsonnet	1	2	c-extension	native	0
guard-compat	1	3	no-entrypoint	compiler	0
gir_ffi-gtk	1	1	analyze-failed	compiler	0
resolve-hostname	1	1	no-entrypoint	compiler	0
ttfunk	1	14	analyze-failed	compiler	0
graphql_playground-rails	1	1	no-entrypoint	compiler	0
gash	1	1	analyze-failed	compiler	0
qtbindings	1	1	c-extension	native	0
yt-support	1	1	no-entrypoint	compiler	0
ruby-opengl	1	2	no-entrypoint	compiler	0
shell-base	1	1	analyze-failed	compiler	0
gherkin3	1	1	no-entrypoint	compiler	0
kakasi	1	1	analyze-failed	compiler	0
cool.io	1	6	c-extension	native	0
jsonrpc2.0	1	1	analyze-failed	compiler	0
json_schema	1	2	analyze-failed	compiler	0
openai	1	1	analyze-timeout	compiler	0
jruby-hazelcast	1	1	analyze-failed	compiler	0
molinillo	1	2	analyze-failed	compiler	0
soap4r-straightjacket	1	1	no-entrypoint	compiler	0
aescrypt	1	1	analyze-failed	compiler	0
jellyfish	1	1	analyze-failed	compiler	0
parsi-date	1	2	other	compiler	0
typogruby	1	1	analyze-failed	compiler	0
stitch-plus	1	1	analyze-failed	compiler	0
flickr	1	1	analyze-failed	compiler	0
sql_helper	1	2	analyze-failed	compiler	0
jammit	1	3	analyze-failed	compiler	0
andyw8-itunes-library	1	1	no-entrypoint	compiler	0
