gem	sole_impact	reach_impact	failure_type	achievability	transitive_loadbearing
svg_optimizer	2	2	analyze-failed	compiler	0
stick	2	2	no-entrypoint	compiler	0
time-lord	2	4	analyze-failed	compiler	0
itunes-client	2	2	other	compiler	0
client_side_validations	2	2	analyze-failed	compiler	0
vagrant-vbguest	2	2	analyze-failed	compiler	0
cairo	2	6	c-extension	native	0
bert	2	6	c-extension	native	0
green_shoes	2	3	analyze-timeout	compiler	0
safe_shell	2	5	other	compiler	0
about_pos	2	2	analyze-failed	compiler	0
stackprof	2	3	c-extension	native	0
ruby-nmap	2	3	analyze-failed	compiler	0
logdna	2	2	analyze-failed	compiler	0
simple_oauth	2	5	analyze-failed	compiler	0
qiniu	2	4	analyze-failed	compiler	0
proc-wait3	2	2	c-extension	native	0
spring_standalone	2	2	no-entrypoint	compiler	0
parseconfig	2	9	analyze-failed	compiler	0
mtik	2	2	analyze-failed	compiler	0
rack-openid	2	4	no-entrypoint	compiler	0
iodine	1	1	c-extension	native	0
gamespy_query	1	1	analyze-failed	compiler	0
meme_generator	1	2	analyze-failed	compiler	0
equire	1	1	analyze-failed	compiler	0
async-dns	1	2	no-entrypoint	compiler	0
gsl	1	5	c-extension	native	0
processingjs-source	1	1	no-entrypoint	compiler	0
libxml-xmlrpc	1	1	no-entrypoint	compiler	0
fast-polylines	1	1	c-extension	native	0
tmp-repo	1	1	analyze-failed	compiler	0
to_regexp	1	3	analyze-failed	compiler	0
inplace	1	1	analyze-timeout	compiler	0
cookiejar	1	24	other	compiler	0
apache_log-parser	1	1	no-entrypoint	compiler	0
ruleby	1	1	analyze-failed	compiler	0
scrambled_eggs	1	1	analyze-failed	compiler	0
shavaluator	1	1	analyze-failed	compiler	0
jbundler	1	3	analyze-failed	compiler	0
rack-session	1	7	no-entrypoint	compiler	0
oniguruma	1	1	c-extension	native	0
stash	1	1	c-extension	native	0
red	1	1	analyze-failed	compiler	0
rstructural	1	1	analyze-failed	compiler	0
typespec	1	1	analyze-failed	compiler	0
ractor-tvar	1	1	no-entrypoint	compiler	0
pdf-writer	1	1	no-entrypoint	compiler	0
to_words	1	1	other	compiler	0
dmarkow-raspell	1	1	c-extension	native	0
rack-ssl	1	2	no-entrypoint	compiler	0
skylight	1	1	c-extension	native	0
threaded_in_memory_queue	1	1	analyze-failed	compiler	0
any	1	1	other	compiler	0
pact-support	1	1	no-entrypoint	compiler	0
isbnranges	1	1	analyze-failed	compiler	0
rack-mount	1	1	no-entrypoint	compiler	0
qpid_messaging	1	1	c-extension	native	0
ruby-dtrace	1	1	c-extension	native	0
mojo_magick	1	1	analyze-failed	compiler	0
pagerduty	1	2	other	compiler	0
pebbles-uid	1	1	analyze-failed	compiler	0
totem	1	1	analyze-failed	compiler	0
pasteboard	1	1	c-extension	native	0
rack-accept	1	4	no-entrypoint	compiler	0
unicode-eaw	1	1	no-entrypoint	compiler	0
dumb_delegator	1	1	analyze-failed	compiler	0
opengl-bindings2	1	1	analyze-failed	compiler	0
ipaddr_list	1	1	analyze-failed	compiler	0
picky	1	2	c-extension	native	0
ranges_merger	1	1	analyze-failed	compiler	0
opentelemetry-api	1	2	other	compiler	0
dicks	1	1	no-entrypoint	compiler	0
random_text	1	1	analyze-failed	compiler	0
google-appengine	1	1	no-entrypoint	compiler	0
flickraw-cached	1	1	no-entrypoint	compiler	0
net_tcp_client	1	2	other	compiler	0
simple_record	1	2	analyze-failed	compiler	0
ruby-uuid	1	1	analyze-failed	compiler	0
media-path	1	1	analyze-failed	compiler	0
rails_event_store	1	1	analyze-failed	compiler	0
slim-rails	1	1	analyze-failed	compiler	0
phraseapp-ruby	1	1	analyze-failed	compiler	0
libxml-to-hash	1	2	other	compiler	0
pura-processing	1	1	analyze-failed	compiler	0
cmdparse	1	2	analyze-failed	compiler	0
otakumike-ruby-lvm-attrib	1	1	no-entrypoint	compiler	0
php_embed	1	1	c-extension	native	0
wiringpi2	1	1	c-extension	native	0
mini_exiftool	1	4	analyze-failed	compiler	0
memcached-northscale	1	1	c-extension	native	0
tts	1	2	other	compiler	0
toy-executable-hooks	1	1	analyze-failed	compiler	0
ruby_event_store	1	1	analyze-failed	compiler	0
gemoji	1	4	other	compiler	0
twiliolib	1	1	analyze-failed	compiler	0
charlock_holmes_bundle_icu	1	5	c-extension	native	0
ruby-fsevent	1	1	no-entrypoint	compiler	0
zip-container	1	1	analyze-failed	compiler	0
ruby-terminfo	1	9	analyze-failed	compiler	0
curl	1	1	analyze-failed	compiler	0
nifty-generators	1	1	no-entrypoint	compiler	0
oauth-cli-twitter	1	1	no-entrypoint	compiler	0
mecab	1	1	no-entrypoint	compiler	0
safe_colorize	1	4	analyze-failed	compiler	0
blake2b	1	3	c-extension	native	0
fastthread	1	8	no-entrypoint	compiler	0
vagrant-berkshelf	1	1	analyze-failed	compiler	0
resolv	1	2	c-extension	native	0
rbtree3	1	1	no-entrypoint	compiler	0
holiday_japan	1	2	analyze-failed	compiler	0
time_span	1	1	analyze-failed	compiler	0
rbtagger	1	1	c-extension	native	0
keyboard_map	1	1	analyze-failed	compiler	0
phonelib	1	1	analyze-failed	compiler	0
pstore	1	2	analyze-failed	compiler	0
rb-scpt	1	1	c-extension	native	0
i3-ipc	1	1	analyze-failed	compiler	0
rabbitmq_http_api_client	1	1	no-entrypoint	compiler	0
timberline	1	1	analyze-failed	compiler	0
ffi-libc	1	1	no-entrypoint	compiler	0
raspell	1	3	c-extension	native	0
activesupport-inflector	1	2	no-entrypoint	compiler	0
tldv-data	1	1	no-entrypoint	compiler	0
tomdz-soap4r	1	1	no-entrypoint	compiler	0
tor	1	2	analyze-failed	compiler	0
similar_text	1	1	c-extension	native	0
sasso	1	2	analyze-failed	compiler	0
bsm	1	1	c-extension	native	0
appengine-apis	1	1	analyze-failed	compiler	0
mattetti-couchrest	1	1	analyze-failed	compiler	0
alexvollmer-clip	1	1	analyze-failed	compiler	0
actsasflinn-ruby-tokyotyrant	1	1	no-entrypoint	compiler	0
pauldix-feedzirra	1	1	analyze-failed	compiler	0
mojodna-fireeagle	1	1	analyze-failed	compiler	0
brianmario-yajl-ruby	1	1	c-extension	native	0
test-spec	1	4	no-entrypoint	compiler	0
linecache	1	4	c-extension	native	0
narray-bigmem	1	1	c-extension	native	0
doodle	1	1	analyze-failed	compiler	0
packable	1	1	analyze-failed	compiler	0
acts_as_taggable_on_steroids	1	1	analyze-failed	compiler	0
fog-kubevirt	1	1	no-entrypoint	compiler	0
nifty-cloud-sdk	1	1	other	compiler	0
zfs	1	1	analyze-failed	compiler	0
iban-tools	1	1	other	compiler	0
rocra	1	1	analyze-failed	compiler	0
async-webdriver	1	1	no-entrypoint	compiler	0
delegate	1	1	analyze-failed	compiler	0
week	1	1	analyze-failed	compiler	0
fast_blank	1	2	no-entrypoint	compiler	0
splunk-sdk-ruby	1	1	analyze-failed	compiler	0
win32ole	1	1	c-extension	native	0
brotli	1	1	c-extension	native	0
workarea	1	1	no-entrypoint	compiler	0
net-github-upload	1	2	no-entrypoint	compiler	0
hexdump	1	3	analyze-failed	compiler	0
types	1	2	analyze-failed	compiler	0
zabbix_sender_api	1	1	other	compiler	0
ruby-wisp-source	1	1	no-entrypoint	compiler	0
bundler-audit	1	5	no-entrypoint	compiler	0
rmmseg-cpp-new	1	1	c-extension	native	0
rucaptcha	1	1	analyze-failed	compiler	0
filewatcher	1	8	analyze-failed	compiler	0
bullet	1	1	analyze-failed	compiler	0
rtaglib	1	1	c-extension	native	0
mini_mime	1	1	analyze-failed	compiler	0
rest-open-uri	1	1	analyze-failed	compiler	0
pbkdf2	1	2	analyze-failed	compiler	0
syro	1	1	analyze-failed	compiler	0
bzip2-ruby	1	1	c-extension	native	0
scoped-search	1	1	analyze-failed	compiler	0
scrivener	1	2	analyze-failed	compiler	0
exiv2	1	1	c-extension	native	0
seam	1	1	analyze-failed	compiler	0
spork-testunit	1	1	no-entrypoint	compiler	0
glosbe	1	1	analyze-failed	compiler	0
mumboe-soap4r	1	3	no-entrypoint	compiler	0
rescuer	1	1	analyze-failed	compiler	0
micro-optparse	1	1	other	compiler	0
thread-inheritable_attributes	1	1	no-entrypoint	compiler	0
rjgit	1	1	analyze-failed	compiler	0
pbkdf2-ruby	1	2	analyze-failed	compiler	0
rsruby	1	1	c-extension	native	0
bound	1	1	analyze-failed	compiler	0
mojombo-grit	1	2	analyze-failed	compiler	0
activerecord4-redshift-adapter	1	1	no-entrypoint	compiler	0
scanf	1	1	analyze-failed	compiler	0
wkhtmltopdf-binary	1	6	no-entrypoint	compiler	0
rbscmlex	1	1	analyze-failed	compiler	0
cbc-wrapper	1	1	c-extension	native	0
mbleigh-mash	1	1	analyze-failed	compiler	0
tty-screen	1	9	analyze-failed	compiler	810
cielo	1	1	no-entrypoint	compiler	0
cpf_cnpj	1	2	other	compiler	0
attr_bool	1	1	analyze-failed	compiler	0
fast_haversine	1	1	c-extension	native	0
steering-source	1	1	no-entrypoint	compiler	0
rambling-trie	1	2	other	compiler	0
tcp_timeout	1	1	analyze-failed	compiler	0
StreetAddress	1	1	analyze-failed	compiler	0
talentbox-unidecoder	1	1	other	compiler	0
string-scrub	1	1	c-extension	native	0
rack-cors	1	2	no-entrypoint	compiler	0
cinch-wit	1	1	no-entrypoint	compiler	0
random-word	1	2	other	compiler	0
amazing_print	1	3	analyze-failed	compiler	0
tapioca	1	1	hard-feature	metaprog	0
tdiary	1	1	analyze-failed	compiler	0
secured_cloud_api_client	1	1	analyze-timeout	compiler	0
cobweb	1	2	analyze-failed	compiler	0
